Name,Team,POS,GP,G,A,PTS,Points per Game
Patrick Kane,CHI,RW,82,46,60,106,1.29
Jamie Benn,DAL,LW,82,41,48,89,1.09
Sidney Crosby,PIT,C,80,36,49,85,1.06
Joe Thornton,SJ,C,82,19,63,82,1
Erik Karlsson,OTT,D,82,16,66,82,1
Blake Wheeler,WPG,RW,82,26,52,78,0.95
Johnny Gaudreau,CGY,LW,79,30,48,78,0.99
Joe Pavelski,SJ,C,82,38,40,78,0.95
Evgeny Kuznetsov,WAS,C,82,20,57,77,0.94
Artemi Panarin,CHI,LW,80,30,47,77,0.96
Brent Burns,SJ,D,82,27,48,75,0.91
Vladimir Tarasenko,STL,RW,80,40,34,74,0.93
Anze Kopitar,LA,C,81,25,49,74,0.91
Tyler Seguin,DAL,C,72,33,40,73,1.01
Alex Ovechkin,WAS,LW,79,50,21,71,0.9
John Tavares,NYI,C,78,33,37,70,0.9
Nicklas Backstrom,WAS,C,75,20,50,70,0.93
Patrice Bergeron,BOS,C,80,32,36,68,0.85
Claude Giroux,PHI,C,78,22,45,67,0.86
Kris Letang,PIT,D,71,16,51,67,0.94
Nikita Kucherov,TB,RW,77,30,36,66,0.86
Jaromir Jagr,FLA,RW,79,27,39,66,0.84
Taylor Hall,EDM,LW,82,26,39,65,0.79
Filip Forsberg,NSH,LW,82,33,31,64,0.78
Max Pacioretty,MON,LW,82,30,34,64,0.78
Steven Stamkos,TB,C,77,36,28,64,0.83
Kyle Okposo,NYI,RW,79,22,42,64,0.81
Ryan Getzlaf,ANH,C,77,13,50,63,0.82
Loui Eriksson,BOS,RW,82,30,33,63,0.77
Sean Monahan,CGY,C,81,27,36,63,0.78
Jason Spezza,DAL,C,75,33,30,63,0.84
David Krejci,BOS,C,72,17,46,63,0.88
Corey Perry,ANH,RW,82,34,28,62,0.76
Jeff Carter,LA,C,77,24,38,62,0.81
Mats Zuccarello,NYR,RW,81,26,35,61,0.75
Roman Josi,NSH,D,81,14,47,61,0.75
Daniel Sedin,VAN,LW,82,28,33,61,0.74
Mark Scheifele,WPG,C,71,29,32,61,0.86
Mark Stone,OTT,RW,75,23,38,61,0.81
Brad Marchand,BOS,LW,77,37,24,61,0.79
Jussi Jokinen,FLA,LW,81,18,42,60,0.74
Wayne Simmonds,PHI,RW,81,32,28,60,0.74
Ryan O'Reilly,BUF,C,71,21,39,60,0.85
Ryan Johansen,NSH,C,80,14,46,60,0.75
Mike Hoffman,OTT,LW,78,29,30,59,0.76
Aleksander Barkov,FLA,C,66,28,31,59,0.89
Matt Duchene,COL,C,76,30,29,59,0.78
Jonathan Huberdeau,FLA,LW,76,20,39,59,0.78
Brayden Schenn,PHI,C,80,26,33,59,0.74
Phil Kessel,PIT,RW,82,26,33,59,0.72
