Name,Team,POS,GP,G,A,PTS,Points per Game
Alex Ovechkin,WAS,LW,82,65,47,112,1.37
Evgeni Malkin,PIT,C,82,47,59,106,1.29
Jarome Iginla,CGY,RW,82,50,48,98,1.2
Pavel Datsyuk,DET,LW,82,31,66,97,1.18
Joe Thornton,SJ,C,82,29,67,96,1.17
Henrik Zetterberg,DET,C,75,43,49,92,1.23
Vincent Lecavalier,TB,C,81,40,52,92,1.14
Jason Spezza,OTT,C,76,34,58,92,1.21
Daniel Alfredsson,OTT,RW,70,40,49,89,1.27
Ilya Kovalchuk,ATL,LW,79,52,35,87,1.1
Alex Kovalev,MON,RW,82,35,49,84,1.02
Mike Ribeiro,DAL,C,76,27,56,83,1.09
Marian Gaborik,MIN,RW,77,42,41,83,1.08
Martin St. Louis,TB,RW,82,25,58,83,1.01
Dany Heatley,OTT,RW,71,41,41,82,1.15
Ryan Getzlaf,ANH,C,77,24,58,82,1.06
Eric Staal,CAR,C,82,38,44,82,1
Derek Roy,BUF,C,78,32,49,81,1.04
Jason Pominville,BUF,RW,82,27,53,80,0.98
Shane Doan,PHO,RW,80,28,50,78,0.98
Mats Sundin,TOR,C,74,32,46,78,1.05
Marc Savard,BOS,C,74,15,63,78,1.05
Anze Kopitar,LA,C,82,32,45,77,0.94
Henrik Sedin,VAN,C,82,15,61,76,0.93
Mike Richards,PHI,C,73,28,47,75,1.03
Daniel Sedin,VAN,LW,82,29,45,74,0.9
Brenden Morrow,DAL,LW,82,32,42,74,0.9
Sidney Crosby,PIT,C,53,24,48,72,1.36
J.P. Dumont,NSH,RW,80,29,43,72,0.9
Danny Briere,PHI,C,79,31,41,72,0.91
Patrick Kane,CHI,RW,82,21,51,72,0.88
Jason Arnott,NSH,C,79,28,44,72,0.91
Ales Hemsky,EDM,RW,74,20,51,71,0.96
Vinny Prospal,PHI,LW,80,33,38,71,0.89
Jaromir Jagr,NYR,RW,82,25,46,71,0.87
Olli Jokinen,FLA,C,82,34,37,71,0.87
Paul Stastny,COL,C,66,24,47,71,1.08
Scott Gomez,NYR,C,81,16,54,70,0.86
Nicklas Lidstrom,DET,D,76,10,60,70,0.92
Nicklas Backstrom,WAS,C,82,14,55,69,0.84
Tomas Plekanec,MON,C,81,29,40,69,0.85
Rick Nash,CLS,LW,80,38,31,69,0.86
Alexander Frolov,LA,LW,71,23,44,67,0.94
Marian Hossa,PIT,RW,72,29,37,66,0.92
Kristian Huselius,CGY,LW,81,25,41,66,0.81
Daymond Langkow,CGY,C,80,30,35,65,0.81
Zach Parise,NJ,LW,81,32,33,65,0.8
Brad Boyes,STL,RW,82,43,22,65,0.79
Cory Stillman,OTT,LW,79,24,41,65,0.82
Sergei Gonchar,PIT,D,78,12,53,65,0.83
