Name,Team,POS,GP,G,A,PTS,Points per Game
Connor McDavid,EDM,C,77,28,63,91,1.18
Patrick Kane,CHI,RW,77,34,50,84,1.09
Brad Marchand,BOS,LW,77,38,45,83,1.08
Sidney Crosby,PIT,C,70,42,40,82,1.17
Nicklas Backstrom,WAS,C,76,22,60,82,1.08
Nikita Kucherov,TB,RW,68,38,42,80,1.18
Mark Scheifele,WPG,C,75,30,48,78,1.04
Brent Burns,SJ,D,77,28,45,73,0.95
Leon Draisaitl,EDM,C,77,27,45,72,0.94
Evgeni Malkin,PIT,C,62,33,39,72,1.16
Tyler Seguin,DAL,C,77,25,45,70,0.91
Artemi Panarin,CHI,LW,77,26,43,69,0.9
Blake Wheeler,WPG,RW,78,24,45,69,0.88
Vladimir Tarasenko,STL,RW,76,36,33,69,0.91
Erik Karlsson,OTT,D,75,15,53,68,0.91
Mikael Granlund,MIN,C,77,25,42,67,0.87
Jamie Benn,DAL,LW,72,25,42,67,0.93
Ryan Getzlaf,ANH,C,69,14,52,66,0.96
Victor Hedman,TB,D,73,15,51,66,0.9
Joe Pavelski,SJ,C,77,29,37,66,0.86
Alex Ovechkin,WAS,LW,76,33,33,66,0.87
David Pastrnak,BOS,RW,70,32,34,66,0.94
John Tavares,NYI,C,76,28,37,65,0.86
Phil Kessel,PIT,RW,76,22,43,65,0.86
Henrik Zetterberg,DET,LW,77,16,48,64,0.83
Max Pacioretty,MON,LW,77,35,29,64,0.83
Auston Matthews,TOR,C,76,36,27,63,0.83
Jeff Carter,LA,C,76,32,30,62,0.82
Nikolaj Ehlers,WPG,LW,78,23,38,61,0.78
Cam Atkinson,CLS,RW,76,34,27,61,0.8
Patrik Laine,WPG,RW,69,34,27,61,0.88
Eric Staal,MIN,C,77,27,33,60,0.78
Johnny Gaudreau,CGY,LW,67,17,42,59,0.88
Ryan Johansen,NSH,C,77,13,46,59,0.77
Mitchell Marner,TOR,C,71,17,41,58,0.82
Jakub Voracek,PHI,RW,77,19,39,58,0.75
William Nylander,TOR,C,75,21,37,58,0.77
Nazem Kadri,TOR,C,76,30,27,57,0.75
Jeff Skinner,CAR,LW,73,32,25,57,0.78
Sean Monahan,CGY,C,77,26,31,57,0.74
Viktor Arvidsson,NSH,LW,75,29,28,57,0.76
Evgeny Kuznetsov,WAS,C,76,18,38,56,0.74
James van Riemsdyk,TOR,LW,76,24,32,56,0.74
Filip Forsberg,NSH,LW,77,30,26,56,0.73
Claude Giroux,PHI,C,77,14,42,56,0.73
Jonathan Toews,CHI,C,68,20,36,56,0.82
Mats Zuccarello,NYR,RW,77,15,41,56,0.73
Mike Hoffman,OTT,LW,69,23,33,56,0.81
Alexander Wennberg,CLS,C,75,13,43,56,0.75
Jack Eichel,BUF,C,56,23,32,55,0.98
