Name,Team,POS,GP,G,A,PTS,Points per Game
Jamie Benn,DAL,LW,82,35,52,87,1.06
John Tavares,NYI,C,82,38,48,86,1.05
Sidney Crosby,PIT,C,77,28,56,84,1.09
Alex Ovechkin,WAS,LW,81,53,28,81,1
Jakub Voracek,PHI,RW,82,22,59,81,0.99
Nicklas Backstrom,WAS,C,82,18,60,78,0.95
Tyler Seguin,DAL,C,71,37,40,77,1.08
Jiri Hudler,CGY,RW,78,31,45,76,0.97
Daniel Sedin,VAN,LW,82,20,56,76,0.93
Henrik Sedin,VAN,C,82,18,55,73,0.89
Vladimir Tarasenko,STL,RW,77,37,36,73,0.95
Claude Giroux,PHI,C,81,25,48,73,0.9
Nick Foligno,CLS,LW,79,31,42,73,0.92
Tyler Johnson,TB,C,77,29,43,72,0.94
Steven Stamkos,TB,C,82,43,29,72,0.88
Ryan Johansen,CLS,C,82,26,45,71,0.87
Joe Pavelski,SJ,C,82,37,33,70,0.85
Evgeni Malkin,PIT,C,69,28,42,70,1.01
Ryan Getzlaf,ANH,C,77,25,45,70,0.91
Rick Nash,NYR,LW,79,42,27,69,0.87
Logan Couture,SJ,C,82,27,40,67,0.82
Max Pacioretty,MON,LW,80,37,30,67,0.84
Jonathan Toews,CHI,C,81,28,38,66,0.81
Erik Karlsson,OTT,D,82,21,45,66,0.8
Henrik Zetterberg,DET,C,77,17,49,66,0.86
Nikita Kucherov,TB,RW,82,29,36,65,0.79
Pavel Datsyuk,DET,C,63,26,39,65,1.03
Joe Thornton,SJ,C,78,16,49,65,0.83
Patrick Kane,CHI,RW,61,27,37,64,1.05
Mark Stone,OTT,RW,80,26,38,64,0.8
Kyle Turris,OTT,C,82,24,40,64,0.78
Alexander Steen,STL,LW,74,24,40,64,0.86
Anze Kopitar,LA,C,79,16,48,64,0.81
Johnny Gaudreau,CGY,LW,80,24,40,64,0.8
Radim Vrbata,VAN,RW,79,31,32,63,0.8
Jordan Eberle,EDM,RW,81,24,39,63,0.78
Jaden Schwartz,STL,LW,75,28,35,63,0.84
Filip Forsberg,NSH,RW,82,26,37,63,0.77
Ondrej Palat,TB,LW,75,16,47,63,0.84
Sean Monahan,CGY,C,81,31,31,62,0.77
Jason Spezza,DAL,C,82,17,45,62,0.76
Andrew Ladd,WPG,LW,81,24,38,62,0.77
Jeff Carter,LA,C,82,28,34,62,0.76
Zach Parise,MIN,LW,74,33,29,62,0.84
Mike Ribeiro,NSH,C,82,15,47,62,0.76
Phil Kessel,TOR,RW,82,25,36,61,0.74
Blake Wheeler,WPG,RW,79,26,35,61,0.77
Marian Hossa,CHI,RW,82,22,39,61,0.74
Tomas Plekanec,MON,C,82,26,34,60,0.73
Derick Brassard,NYR,C,80,19,41,60,0.75
