Name,Team,POS,GP,G,A,PTS,Points per Game
Daniel Sedin,VAN,LW,82,41,63,104,1.27
Martin St. Louis,TB,RW,82,31,68,99,1.21
Corey Perry,ANH,RW,82,50,48,98,1.2
Henrik Sedin,VAN,C,82,19,75,94,1.15
Steven Stamkos,TB,C,82,45,46,91,1.11
Jarome Iginla,CGY,RW,82,43,43,86,1.05
Alex Ovechkin,WAS,LW,79,32,53,85,1.08
Teemu Selanne,ANH,RW,73,31,49,80,1.1
Henrik Zetterberg,DET,C,80,24,56,80,1
Brad Richards,DAL,C,72,28,49,77,1.07
Ryan Getzlaf,ANH,C,67,19,57,76,1.13
Claude Giroux,PHI,C,82,25,51,76,0.93
Eric Staal,CAR,C,81,33,43,76,0.94
Jonathan Toews,CHI,C,80,32,44,76,0.95
Patrick Kane,CHI,RW,73,27,46,73,1
Patrick Marleau,SJ,LW,82,37,36,73,0.89
Loui Eriksson,DAL,RW,79,27,46,73,0.92
Anze Kopitar,LA,C,75,25,48,73,0.97
Ryan Kesler,VAN,C,82,41,32,73,0.89
Thomas Vanek,BUF,LW,80,32,41,73,0.91
Bobby Ryan,ANH,LW,82,34,37,71,0.87
Mike Ribeiro,DAL,C,82,19,52,71,0.87
Patrick Sharp,CHI,RW,74,34,37,71,0.96
Joe Thornton,SJ,C,80,21,49,70,0.88
Alex Tanguay,CGY,LW,79,22,47,69,0.87
Lubomir Visnovsky,ANH,D,81,18,50,68,0.84
Danny Briere,PHI,C,77,34,34,68,0.88
John Tavares,NYI,C,79,29,38,67,0.85
Matt Duchene,COL,C,80,27,40,67,0.84
Mike Richards,PHI,C,81,23,43,66,0.81
Rick Nash,CLS,LW,75,32,34,66,0.88
Sidney Crosby,PIT,C,41,32,34,66,1.61
Jeff Carter,PHI,C,80,36,30,66,0.83
Joe Pavelski,SJ,C,74,20,46,66,0.89
Nicklas Backstrom,WAS,C,77,18,47,65,0.84
Dany Heatley,SJ,RW,80,26,38,64,0.8
Phil Kessel,TOR,RW,82,32,32,64,0.78
Jeff Skinner,CAR,C,82,31,32,63,0.77
Nicklas Lidstrom,DET,D,82,16,46,62,0.76
Ryane Clowe,SJ,LW,75,24,38,62,0.83
Milan Lucic,BOS,LW,79,30,32,62,0.78
Patrik Elias,NJ,LW,81,21,41,62,0.77
Clarke MacArthur,TOR,LW,82,21,41,62,0.76
Martin Havlat,MIN,RW,78,22,40,62,0.79
David Backes,STL,RW,82,31,31,62,0.76
Mikko Koivu,MIN,C,71,17,45,62,0.87
David Krejci,BOS,C,75,13,49,62,0.83
Shane Doan,PHO,RW,72,20,40,60,0.83
Ilya Kovalchuk,NJ,LW,81,31,29,60,0.74
Pavel Datsyuk,DET,LW,56,23,36,59,1.05
