Name,Team,POS,GP,G,A,PTS,Points per Game
Evgeni Malkin,PIT,C,82,35,78,113,1.38
Alex Ovechkin,WAS,LW,79,56,54,110,1.39
Sidney Crosby,PIT,C,77,33,70,103,1.34
Pavel Datsyuk,DET,LW,81,32,65,97,1.2
Zach Parise,NJ,LW,82,45,49,94,1.15
Ryan Getzlaf,ANH,C,81,25,66,91,1.12
Ilya Kovalchuk,ATL,LW,79,43,48,91,1.15
Jarome Iginla,CGY,RW,82,35,54,89,1.09
Nicklas Backstrom,WAS,C,82,22,66,88,1.07
Marc Savard,BOS,C,82,25,63,88,1.07
Joe Thornton,SJ,C,82,25,61,86,1.05
Jeff Carter,PHI,C,82,46,38,84,1.02
Michael Cammalleri,CGY,LW,81,39,43,82,1.01
Daniel Sedin,VAN,LW,82,31,51,82,1
Henrik Sedin,VAN,C,82,22,60,82,1
Mike Richards,PHI,C,79,30,50,80,1.01
Martin St. Louis,TB,RW,82,30,50,80,0.98
Rick Nash,CLS,LW,78,40,39,79,1.01
Alexander Semin,WAS,RW,62,34,45,79,1.27
Patrik Elias,NJ,LW,77,31,47,78,1.01
Mike Ribeiro,DAL,C,82,22,56,78,0.95
Ray Whitney,CAR,LW,82,24,53,77,0.94
Martin Havlat,CHI,RW,81,29,48,77,0.95
Slava Kozlov,ATL,LW,82,26,50,76,0.93
Eric Staal,CAR,C,82,40,35,75,0.91
Simon Gagne,PHI,LW,79,34,40,74,0.94
Daniel Alfredsson,OTT,RW,79,24,50,74,0.94
Jason Spezza,OTT,C,82,32,41,73,0.89
Mike Green,WAS,D,68,31,42,73,1.07
Henrik Zetterberg,DET,C,77,31,42,73,0.95
David Krejci,BOS,C,82,22,51,73,0.89
Shane Doan,PHO,RW,82,31,42,73,0.89
Todd White,ATL,C,82,22,51,73,0.89
Corey Perry,ANH,RW,78,32,40,72,0.92
Dany Heatley,OTT,RW,82,39,33,72,0.88
Brad Boyes,STL,RW,82,33,39,72,0.88
Marian Hossa,DET,RW,74,40,31,71,0.96
Patrick Marleau,SJ,LW,76,38,33,71,0.93
Derek Roy,BUF,C,82,28,42,70,0.85
Patrick Kane,CHI,RW,80,25,45,70,0.88
Jonathan Toews,CHI,C,82,34,35,69,0.84
Jamie Langenbrunner,NJ,RW,81,29,40,69,0.85
Mikko Koivu,MIN,C,79,20,47,67,0.85
Vincent Lecavalier,TB,C,77,29,38,67,0.87
Jason Pominville,BUF,RW,82,20,46,66,0.8
Ales Hemsky,EDM,RW,72,23,43,66,0.92
Anze Kopitar,LA,C,82,27,39,66,0.8
Alex Kovalev,MON,RW,78,26,39,65,0.83
J.P. Dumont,NSH,RW,82,16,49,65,0.79
Devin Setoguchi,SJ,RW,81,31,34,65,0.8
