Name,Team,POS,GP,G,A,PTS,Points per Game
Martin St. Louis,TB,RW,48,17,43,60,1.25
Steven Stamkos,TB,C,48,29,28,57,1.19
Alex Ovechkin,WAS,RW,48,32,24,56,1.17
Sidney Crosby,PIT,C,36,15,41,56,1.56
Patrick Kane,CHI,RW,47,23,32,55,1.17
Eric Staal,CAR,C,48,18,35,53,1.1
Chris Kunitz,PIT,LW,48,22,30,52,1.08
Phil Kessel,TOR,RW,48,20,32,52,1.08
Taylor Hall,EDM,LW,45,16,34,50,1.11
Mike Ribeiro,PHO,C,48,13,36,49,1.02
Ryan Getzlaf,ANH,C,44,15,34,49,1.11
Pavel Datsyuk,DET,C,47,15,34,49,1.04
Claude Giroux,PHI,C,48,13,35,48,1
Henrik Zetterberg,DET,C,46,11,37,48,1.04
Jonathan Toews,CHI,C,47,23,25,48,1.02
Nicklas Backstrom,WAS,C,48,8,40,48,1
John Tavares,NYI,C,48,28,19,47,0.98
Jakub Voracek,PHI,RW,48,22,24,46,0.96
Andrew Ladd,WPG,LW,48,18,28,46,0.96
Henrik Sedin,VAN,C,48,11,34,45,0.94
Nazem Kadri,TOR,C,48,18,26,44,0.92
Derek Stepan,NYR,C,48,18,26,44,0.92
Alexander Semin,CAR,RW,44,13,31,44,1
Matt Moulson,NYI,LW,47,15,29,44,0.94
Matt Duchene,COL,C,47,17,26,43,0.91
P.A. Parenteau,COL,RW,48,18,25,43,0.9
Anze Kopitar,LA,C,47,10,32,42,0.89
Rick Nash,NYR,LW,44,21,21,42,0.95
Blake Wheeler,WPG,RW,48,19,22,41,0.85
Thomas Vanek,BUF,LW,38,20,21,41,1.08
Daniel Sedin,VAN,LW,47,12,28,40,0.85
Joe Thornton,SJ,C,48,7,33,40,0.83
Max Pacioretty,MON,LW,44,15,24,39,0.89
Sam Gagner,EDM,C,48,14,24,38,0.79
Kris Letang,PIT,D,35,5,33,38,1.09
P.K. Subban,MON,D,42,11,27,38,0.9
Zach Parise,MIN,LW,48,18,20,38,0.79
Jiri Tlusty,CAR,C,48,23,15,38,0.79
Pascal Dupuis,PIT,LW,48,20,18,38,0.79
Logan Couture,SJ,C,48,21,16,37,0.77
Mikko Koivu,MIN,C,48,11,26,37,0.77
Jordan Eberle,EDM,RW,48,16,21,37,0.77
Patrik Elias,NJ,LW,48,14,22,36,0.75
Teddy Purcell,TB,RW,48,11,25,36,0.75
Chris Stewart,STL,RW,48,18,18,36,0.75
James Neal,PIT,LW,40,21,15,36,0.9
Brad Marchand,BOS,C,45,18,18,36,0.8
Corey Perry,ANH,RW,44,15,21,36,0.82
Brad Boyes,NYI,RW,48,10,25,35,0.73
Tomas Fleischmann,FLA,LW,48,12,23,35,0.73
