Name,Team,POS,GP,G,A,PTS,Points per Game
Sidney Crosby,PIT,C,80,36,68,104,1.3
Ryan Getzlaf,ANH,C,77,31,56,87,1.13
Claude Giroux,PHI,C,82,28,58,86,1.05
Tyler Seguin,DAL,C,80,37,47,84,1.05
Corey Perry,ANH,RW,81,43,39,82,1.01
Taylor Hall,EDM,LW,75,27,53,80,1.07
Phil Kessel,TOR,RW,82,37,43,80,0.98
Jamie Benn,DAL,LW,81,34,45,79,0.98
Alex Ovechkin,WAS,RW,78,51,28,79,1.01
Nicklas Backstrom,WAS,C,82,18,61,79,0.96
Joe Pavelski,SJ,C,82,41,38,79,0.96
Patrick Sharp,CHI,LW,82,34,44,78,0.95
Joe Thornton,SJ,C,82,11,65,76,0.93
Erik Karlsson,OTT,D,82,20,54,74,0.9
Evgeni Malkin,PIT,C,60,23,49,72,1.2
Anze Kopitar,LA,C,82,29,41,70,0.85
Patrick Marleau,SJ,LW,82,33,37,70,0.85
Matt Duchene,COL,C,71,23,47,70,0.99
Kyle Okposo,NYI,RW,71,27,42,69,0.97
Martin St. Louis,NYR,RW,81,30,39,69,0.85
Patrick Kane,CHI,RW,69,29,40,69,1
Blake Wheeler,WPG,RW,82,28,41,69,0.84
David Krejci,BOS,C,80,19,50,69,0.86
Chris Kunitz,PIT,LW,78,35,33,68,0.87
Thomas Vanek,MON,LW,78,27,41,68,0.87
Jonathan Toews,CHI,C,76,28,40,68,0.89
Jaromir Jagr,NJ,RW,82,24,43,67,0.82
Jason Spezza,OTT,C,75,23,43,66,0.88
John Tavares,NYI,C,59,24,42,66,1.12
Gabriel Landeskog,COL,LW,81,26,39,65,0.8
Jordan Eberle,EDM,RW,80,28,37,65,0.81
Bryan Little,WPG,C,82,23,41,64,0.78
Ryan O'Reilly,COL,LW,80,28,36,64,0.8
Ryan Johansen,CLS,C,82,33,30,63,0.77
Nathan MacKinnon,COL,C,82,24,39,63,0.77
Alexander Steen,STL,LW,68,33,29,62,0.91
Patrice Bergeron,BOS,C,80,30,32,62,0.78
Jakub Voracek,PHI,RW,82,23,39,62,0.76
James Neal,PIT,LW,59,27,34,61,1.03
Jarome Iginla,BOS,RW,78,30,31,61,0.78
Duncan Keith,CHI,D,79,6,55,61,0.77
James van Riemsdyk,TOR,LW,80,30,31,61,0.76
Eric Staal,CAR,C,79,21,40,61,0.77
Max Pacioretty,MON,LW,73,39,21,60,0.82
Jason Pominville,MIN,RW,82,30,30,60,0.73
Marian Hossa,CHI,RW,72,30,30,60,0.83
Paul Stastny,COL,C,71,25,35,60,0.85
T.J. Oshie,STL,C,79,21,39,60,0.76
Wayne Simmonds,PHI,RW,82,29,31,60,0.73
Mats Zuccarello,NYR,LW,77,19,40,59,0.77
