Name,Team,POS,GP,G,A,PTS,Points per Game
Evgeni Malkin,PIT,C,75,50,59,109,1.45
Steven Stamkos,TB,C,82,60,37,97,1.18
Claude Giroux,PHI,C,77,28,65,93,1.21
Jason Spezza,OTT,C,80,34,50,84,1.05
Ilya Kovalchuk,NJ,LW,77,37,46,83,1.08
Phil Kessel,TOR,RW,82,37,45,82,1
James Neal,PIT,LW,80,40,41,81,1.01
John Tavares,NYI,C,82,31,50,81,0.99
Henrik Sedin,VAN,C,82,14,67,81,0.99
Patrik Elias,NJ,LW,81,26,52,78,0.96
Erik Karlsson,OTT,D,81,19,59,78,0.96
Joe Thornton,SJ,C,82,18,59,77,0.94
Marian Hossa,CHI,RW,81,29,48,77,0.95
Ray Whitney,PHO,LW,82,24,53,77,0.94
Anze Kopitar,LA,C,82,25,51,76,0.93
Marian Gaborik,NYR,RW,82,41,35,76,0.93
Jordan Eberle,EDM,RW,78,34,42,76,0.97
Martin St. Louis,TB,RW,77,25,49,74,0.96
Jason Pominville,BUF,RW,82,30,43,73,0.89
Loui Eriksson,DAL,RW,82,26,45,71,0.87
Eric Staal,CAR,C,82,24,46,70,0.85
Patrick Sharp,CHI,RW,74,33,36,69,0.93
Henrik Zetterberg,DET,C,82,22,47,69,0.84
Zach Parise,NJ,LW,82,31,38,69,0.84
Matt Moulson,NYI,LW,82,36,33,69,0.84
Pavel Datsyuk,DET,LW,70,19,48,67,0.96
Joffrey Lupul,TOR,LW,66,25,42,67,1.02
Tyler Seguin,BOS,C,81,29,38,67,0.83
P.A. Parenteau,NYI,RW,80,18,49,67,0.84
Jarome Iginla,CGY,RW,82,32,35,67,0.82
Scott Hartnell,PHI,LW,82,37,30,67,0.82
Daniel Sedin,VAN,LW,72,30,37,67,0.93
Brad Richards,NYR,C,82,25,41,66,0.8
Valtteri Filppula,DET,C,81,23,43,66,0.81
Teemu Selanne,ANH,RW,82,26,40,66,0.8
Patrick Kane,CHI,RW,82,23,43,66,0.8
Max Pacioretty,MON,LW,79,33,32,65,0.82
Alex Ovechkin,WAS,LW,78,38,27,65,0.83
Logan Couture,SJ,C,80,31,34,65,0.81
Teddy Purcell,TB,RW,81,24,41,65,0.8
Patrick Marleau,SJ,LW,82,30,34,64,0.78
Patrice Bergeron,BOS,C,81,22,42,64,0.79
Blake Wheeler,WPG,RW,80,17,47,64,0.8
Jamie Benn,DAL,LW,71,26,37,63,0.89
Mike Ribeiro,DAL,C,74,18,45,63,0.85
Radim Vrbata,PHO,RW,77,35,27,62,0.81
Michael Ryder,DAL,RW,82,35,27,62,0.76
David Krejci,BOS,C,79,23,39,62,0.78
Olli Jokinen,CGY,C,82,23,38,61,0.74
Chris Kunitz,PIT,LW,82,26,35,61,0.74
